"","N_1","N_2","N_3","Y_1","Y_2","Y_3"
"Gene_7594",36,64,78,99,79,79
"Gene_7595",2,3,1,5,6,7
"Gene_7596",25,31,28,19,32,30
"Gene_7597",12,1,11,4,3,0
"Gene_7598",86,60,22,15,50,55
"Gene_7599",22,32,297,48,21,31
"Gene_7600",21,26,26,25,53,15
"Gene_7601",347,417,578,247,372,392
"Gene_7602",100,165,54,104,95,72
"Gene_7603",1,1,2,1,0,2
"Gene_7604",3,8,11,23,2,10
"Gene_7605",3,4,8,5,11,3
"Gene_7606",26,34,21,20,33,25
"Gene_7607",49,85,66,58,60,89
"Gene_7608",99,96,104,75,153,228
"Gene_7609",0,0,0,0,0,1
"Gene_7610",2,1,0,0,0,3
"Gene_7611",826,619,373,602,861,386
"Gene_7612",110,87,81,52,124,116
"Gene_7613",91,80,78,92,113,151
"Gene_7614",318,290,436,191,431,417
"Gene_7615",3,0,0,6,0,4
"Gene_7616",1558,2163,6941,1732,2585,2914
"Gene_7617",121,105,111,128,155,150
"Gene_7618",49,32,28,28,59,51
"Gene_7619",2,6,2,4,1,5
"Gene_7620",556,574,602,821,1061,896
"Gene_7621",2,3,9,1,2,0
"Gene_7622",42,34,17,40,41,39
"Gene_7623",4,6,11,4,5,9
"Gene_7624",2,1,1,1,0,0
"Gene_7625",2,5,3,2,12,5
"Gene_7626",99,133,86,45,137,120
"Gene_7627",0,1,0,0,1,0
"Gene_7628",470,507,574,553,674,832
"Gene_7629",1,0,0,0,0,0
"Gene_7630",3,5,12,4,3,8
"Gene_7631",191,215,149,154,425,247
"Gene_7632",88,67,24,64,127,54
"Gene_7633",377,412,356,441,520,427
"Gene_7634",103,71,88,130,119,108
"Gene_7635",0,0,1,0,0,0
"Gene_7636",1,0,0,0,1,2
"Gene_7637",20,19,17,44,26,7
"Gene_7638",231,258,226,108,371,302
"Gene_7639",0,0,0,2,1,1
"Gene_7640",7,11,9,5,10,7
"Gene_7641",4,4,14,12,6,6
"Gene_7642",4,7,3,4,10,3
"Gene_7643",70,34,56,79,65,43
"Gene_7644",6,10,12,7,8,4
"Gene_7645",17,29,31,9,20,34
"Gene_7646",3,5,1,2,1,2
"Gene_7647",73,52,52,16,62,63
"Gene_7648",2,1,1,3,2,0
"Gene_7649",40,19,48,35,68,50
"Gene_7650",8,4,7,6,9,6
"Gene_7651",3,3,2,0,5,1
"Gene_7652",252,171,144,128,332,242
"Gene_7653",208,256,302,179,232,205
"Gene_7654",74,67,43,26,79,47
"Gene_7655",0,0,1,0,0,0
"Gene_7656",0,0,0,2,0,0
"Gene_7657",2,0,3,0,2,3
"Gene_7658",1,7,3,4,15,10
"Gene_7659",15,7,5,4,16,15
"Gene_7660",27,9,13,22,31,31
"Gene_7661",0,0,3,0,1,0
"Gene_7662",3,1,0,0,2,0
"Gene_7663",135,130,163,76,188,179
"Gene_7664",8,4,8,6,6,2
"Gene_7665",187,224,214,244,377,454
"Gene_7666",17,9,5,8,15,5
"Gene_7667",30,16,19,15,24,22
"Gene_7668",12,13,32,23,16,14
"Gene_7669",1,0,0,2,2,0
"Gene_7670",0,0,0,0,1,0
"Gene_7671",2,3,0,1,2,1
"Gene_7672",1,0,0,0,0,0
"Gene_7673",0,0,1,1,0,0
"Gene_7674",181,148,130,162,259,254
"Gene_7675",5,1,1,0,7,5
"Gene_7676",30,21,25,18,23,26
"Gene_7677",1752,1793,1401,1640,3180,2600
"Gene_7678",4,8,13,8,14,8
"Gene_7679",9,7,12,10,10,9
"Gene_7680",98,64,55,52,72,95
"Gene_7681",4,8,3,17,24,72
"Gene_7682",82,72,59,21,86,74
"Gene_7683",70,69,79,96,85,94
"Gene_7684",0,3,2,2,3,2
"Gene_7685",1,2,16,1,4,4
"Gene_7686",10,5,0,1,0,14
"Gene_7687",10,6,7,5,12,6
"Gene_7688",17,7,6,8,8,7
"Gene_7689",13,7,10,7,11,6
"Gene_7690",132,213,89,98,361,204
"Gene_7691",3,7,6,4,3,1
"Gene_7692",179,171,159,70,250,214
"Gene_7693",27,33,66,30,58,50
"Gene_7694",34,24,22,18,36,31
"Gene_7695",1,0,1,1,0,0
"Gene_7696",153,118,62,78,164,106
"Gene_7697",0,0,0,0,1,0
"Gene_7698",171,182,171,94,179,133
"Gene_7699",296,310,283,332,445,164
"Gene_7700",21,15,12,5,27,22
"Gene_7701",0,0,0,0,1,0
"Gene_7702",0,0,1,0,0,0
"Gene_7703",138,196,209,119,224,259
"Gene_7704",178,263,191,290,175,250
"Gene_7705",5,5,2,4,3,13
"Gene_7706",0,0,1,0,0,0
"Gene_7707",52,90,50,52,84,92
"Gene_7708",69,91,79,83,42,59
"Gene_7709",0,0,1,1,1,1
"Gene_7710",24,31,28,23,30,20
"Gene_7711",1585,1265,1564,1617,2110,2206
"Gene_7712",95,125,378,170,70,119
"Gene_7713",5,7,3,1,6,11
"Gene_7714",161,173,141,143,216,143
"Gene_7715",0,0,0,0,0,4
"Gene_7716",12,5,4,3,5,12
"Gene_7717",57,71,76,54,113,95
"Gene_7718",1622,1609,954,1419,2051,1800
"Gene_7719",1,0,6,10,0,4
"Gene_7720",9,9,16,9,13,11
"Gene_7721",9,16,2,4,11,8
"Gene_7722",52,35,43,38,44,40
"Gene_7723",11,7,1,6,18,13
"Gene_7724",439,497,286,386,592,716
"Gene_7725",3,0,0,0,2,0
"Gene_7726",0,0,4,0,1,2
"Gene_7727",1,3,7,5,1,4
"Gene_7728",67,67,466,79,41,92
"Gene_7729",0,0,1,0,0,0
"Gene_7730",81,78,124,70,115,114
"Gene_7731",327,278,349,148,321,262
"Gene_7732",4,5,4,6,9,7
"Gene_7733",0,0,0,0,1,1
"Gene_7734",84,85,97,100,124,119
"Gene_7735",80,80,105,98,81,175
"Gene_7736",7,4,4,10,14,15
"Gene_7737",11,6,13,6,31,13
"Gene_7738",310,364,322,527,467,465
"Gene_7739",452,445,457,356,856,594
"Gene_7740",13,8,12,1,12,16
"Gene_7741",114,101,144,125,177,176
"Gene_7742",110,98,70,96,76,97
"Gene_7743",186,166,218,153,188,404
"Gene_7744",247,189,253,149,363,299
"Gene_7745",186,181,154,86,194,157
"Gene_7746",66,101,88,124,84,63
"Gene_7747",4,4,2,6,3,4
"Gene_7748",0,0,1,0,0,0
"Gene_7749",177,200,196,157,174,171
"Gene_7750",5,2,6,1,1,3
"Gene_7751",92,62,34,16,54,21
"Gene_7752",1,3,0,0,0,3
"Gene_7753",0,1,1,1,0,1
"Gene_7754",44,47,77,111,77,57
"Gene_7755",20,39,9,15,34,10
"Gene_7756",1,0,1,0,3,0
"Gene_7757",0,0,1,2,2,1
"Gene_7758",1,0,0,0,0,0
"Gene_7759",3,0,0,0,1,1
"Gene_7760",0,0,1,1,0,0
"Gene_7761",0,1,0,0,1,1
"Gene_7762",110,112,175,61,178,157
"Gene_7763",612,477,617,375,877,689
"Gene_7764",182,121,132,58,202,118
"Gene_7765",10,11,14,8,5,14
"Gene_7766",0,0,0,0,0,1
"Gene_7767",152,164,162,177,179,216
"Gene_7768",27,15,18,24,20,9
"Gene_7769",0,0,1,0,0,0
"Gene_7770",110,142,132,118,152,148
"Gene_7771",71,42,52,39,82,56
"Gene_7772",0,0,1,0,0,1
"Gene_7773",79,73,64,57,108,95
"Gene_7774",353,339,191,290,474,320
"Gene_7775",0,0,0,1,0,0
"Gene_7776",16,11,11,3,20,17
"Gene_7777",319,325,219,257,306,256
"Gene_7778",3600,3124,3514,3627,4607,4634
"Gene_7779",5,3,4,2,6,1
"Gene_7780",15,12,42,16,13,15
"Gene_7781",1,4,1,6,4,3
"Gene_7782",1,0,0,0,1,0
"Gene_7783",13,4,5,2,6,4
"Gene_7784",448,372,450,489,651,603
"Gene_7785",145,152,221,107,202,235
"Gene_7786",1,0,0,0,0,0
"Gene_7787",1,1,1,3,1,0
"Gene_7788",30,32,49,102,81,64
"Gene_7789",9,20,25,16,14,14
"Gene_7790",32,9,11,8,13,15
"Gene_7791",0,2,0,1,3,3
"Gene_7792",0,1,1,0,0,1
"Gene_7793",0,0,1,1,0,0
"Gene_7794",0,0,0,1,0,0
"Gene_7795",116,90,116,108,173,177
"Gene_7796",1,1,3,2,1,0
"Gene_7797",0,1,0,0,3,0
"Gene_7798",0,0,0,0,1,0
"Gene_7799",30,18,19,34,35,22
"Gene_7800",17,22,61,56,10,30
"Gene_7801",22,25,24,26,15,13
"Gene_7802",0,0,0,0,1,0
"Gene_7803",164,123,163,115,212,166
"Gene_7804",19,17,10,7,25,20
"Gene_7805",0,0,1,0,0,1
"Gene_7806",5,6,2,3,5,2
"Gene_7807",27,9,21,15,22,22
"Gene_7808",108,85,142,106,174,157
"Gene_7809",0,0,3,0,1,0
"Gene_7810",0,1,0,0,1,0
"Gene_7811",0,0,2,0,4,0
"Gene_7812",0,1,1,0,1,0
"Gene_7813",11,6,12,29,10,25
"Gene_7814",157,264,105,154,324,155
"Gene_7815",0,0,1,2,0,0
"Gene_7816",12,8,9,11,12,7
"Gene_7817",59,71,86,29,98,69
"Gene_7818",52,31,34,38,105,61
"Gene_7819",5,6,1,5,1,4
"Gene_7820",210,168,210,303,346,247
"Gene_7821",15,2,17,3,9,4
"Gene_7822",2,5,7,4,13,7
"Gene_7823",0,1,1,1,1,1
"Gene_7824",0,10,8,6,4,1
"Gene_7825",17,16,15,25,40,37
"Gene_7826",16,9,12,16,11,17
"Gene_7827",0,0,1,2,0,0
"Gene_7828",473,323,228,237,435,349
"Gene_7829",1,3,5,3,7,2
"Gene_7830",19,8,7,15,11,5
"Gene_7831",220,301,392,293,299,204
"Gene_7832",48,69,51,31,69,92
"Gene_7833",0,0,0,0,1,1
"Gene_7834",29,31,20,27,38,44
"Gene_7835",18,16,15,20,9,8
"Gene_7836",184,180,118,234,299,225
"Gene_7837",0,0,3,0,1,1
"Gene_7838",0,2,3,1,3,0
"Gene_7839",6,6,8,11,9,8
"Gene_7840",197,184,285,341,189,283
"Gene_7841",1,5,5,1,5,6
"Gene_7842",21,17,11,36,19,20
"Gene_7843",18,9,11,9,15,16
"Gene_7844",1,1,3,3,0,4
"Gene_7845",9,15,54,9,13,21
"Gene_7846",0,1,7,0,0,0
"Gene_7847",1325,973,867,606,1309,1106
"Gene_7848",5,3,6,11,8,3
"Gene_7849",59,89,54,28,96,75
"Gene_7850",4,11,4,5,10,8
"Gene_7851",61,92,81,73,87,76
"Gene_7852",0,0,1,0,0,0
"Gene_7853",50,26,19,18,38,20
"Gene_7854",59,54,41,59,67,53
"Gene_7855",427,458,529,376,623,615
"Gene_7856",33,31,68,38,56,50
"Gene_7857",60,48,47,56,74,69
"Gene_7858",36,35,41,12,44,38
"Gene_7859",6,8,9,4,13,6
"Gene_7860",151,109,106,151,197,110
"Gene_7861",0,0,3,0,1,1
"Gene_7862",36,58,40,60,47,43
"Gene_7863",275,170,158,195,288,192
"Gene_7864",1,0,0,0,0,0
"Gene_7865",26,27,22,15,45,38
"Gene_7866",2,0,1,5,0,2
"Gene_7867",6,3,2,8,2,11
"Gene_7868",82,144,151,182,183,234
"Gene_7869",36,22,45,36,53,55
"Gene_7870",4,6,1,7,10,10
"Gene_7871",10,4,5,3,4,3
"Gene_7872",117,96,84,41,138,105
"Gene_7873",6,7,8,5,11,8
"Gene_7874",0,0,1,0,0,0
"Gene_7875",0,0,1,0,0,0
"Gene_7876",1,1,0,2,2,0
"Gene_7877",0,0,1,1,1,0
"Gene_7878",2,0,5,3,1,1
"Gene_7879",54,42,45,81,50,58
"Gene_7880",1,2,0,1,0,1
"Gene_7881",291,307,234,192,421,365
"Gene_7882",0,0,0,1,0,0
"Gene_7883",30,34,35,35,45,19
"Gene_7884",0,1,0,1,0,1
"Gene_7885",5,5,1,6,4,4
"Gene_7886",100,70,44,44,101,71
"Gene_7887",41,33,35,39,73,66
"Gene_7888",78,67,85,29,117,129
"Gene_7889",21,11,9,5,16,11
"Gene_7890",51,43,63,25,89,73
"Gene_7891",1185,1270,506,975,1564,1187
"Gene_7892",25,27,18,26,57,6
"Gene_7893",147,176,273,191,205,215
"Gene_7894",0,0,0,0,1,0
"Gene_7895",6,3,7,2,5,16
"Gene_7896",2,7,18,15,9,8
"Gene_7897",21,14,20,29,13,17
"Gene_7898",0,0,0,1,0,0
"Gene_7899",2,6,2,4,5,2
"Gene_7900",2,1,2,7,2,1
"Gene_7901",20,9,30,8,19,12
"Gene_7902",2,0,3,5,2,1
"Gene_7903",44,66,118,15,44,29
"Gene_7904",67,53,42,35,93,62
"Gene_7905",1,0,1,0,4,0
"Gene_7906",1,4,7,0,2,1
"Gene_7907",10,16,12,18,10,14
"Gene_7908",10,11,28,4,9,7
"Gene_7909",0,0,0,0,1,0
"Gene_7910",27,20,22,15,26,22
"Gene_7911",17,15,34,6,13,29
"Gene_7912",1,0,2,1,0,1
"Gene_7913",46,36,48,30,43,38
"Gene_7914",0,0,0,0,0,1
"Gene_7915",0,1,0,2,0,0
"Gene_7916",1,0,0,0,1,0
"Gene_7917",0,5,5,1,0,1
"Gene_7918",108,143,81,58,189,105
"Gene_7919",1,8,0,0,5,2
"Gene_7920",88,81,35,86,116,63
"Gene_7921",161,124,115,82,200,132
"Gene_7922",11,14,17,8,13,14
"Gene_7923",1,0,0,0,0,0
"Gene_7924",22,6,18,10,24,10
"Gene_7925",7,2,7,4,1,6
"Gene_7926",0,1,1,0,1,1
"Gene_7927",1,2,1,5,4,5
"Gene_7928",1,3,6,6,3,6
"Gene_7929",0,0,1,0,0,0
"Gene_7930",0,4,2,1,2,2
"Gene_7931",1,1,3,3,5,1
"Gene_7932",0,1,1,1,0,0
"Gene_7933",1,0,1,0,0,0
"Gene_7934",346,254,213,158,309,316
"Gene_7935",2,2,2,2,6,3
"Gene_7936",4,0,3,5,4,4
"Gene_7937",21,25,26,31,27,38
"Gene_7938",253,221,162,208,330,311
"Gene_7939",86,58,67,170,119,84
"Gene_7940",0,0,0,1,1,0
"Gene_7941",109,103,38,49,100,80
"Gene_7942",0,0,0,1,0,0
"Gene_7943",180,204,104,232,351,296
"Gene_7944",1,2,0,0,3,3
"Gene_7945",7,2,5,1,6,0
"Gene_7946",21,23,20,33,25,23
"Gene_7947",16,15,25,23,20,23
"Gene_7948",1,0,0,0,0,1
"Gene_7949",160,179,146,115,289,282
"Gene_7950",5,3,7,1,5,4
"Gene_7951",1,0,1,0,0,3
"Gene_7952",1,2,4,0,1,4
"Gene_7953",5,4,12,5,3,6
"Gene_7954",0,0,0,0,0,1
"Gene_7955",26,35,44,46,38,45
"Gene_7956",77,86,73,89,119,112
"Gene_7957",190,204,311,157,247,340
"Gene_7958",81,77,82,73,102,165
"Gene_7959",135,141,32,59,284,136
"Gene_7960",2,2,5,4,6,6
"Gene_7961",100,72,68,46,88,76
"Gene_7962",5,2,8,3,6,6
"Gene_7963",86,65,30,90,72,96
"Gene_7964",0,1,3,4,1,0
"Gene_7965",0,0,0,1,0,0
"Gene_7966",1,2,1,1,0,5
"Gene_7967",6,5,3,2,6,10
"Gene_7968",8,9,6,12,2,4
"Gene_7969",35,27,34,26,42,36
"Gene_7970",0,0,3,0,0,0
"Gene_7971",535,597,585,812,722,698
"Gene_7972",3,2,10,0,2,0
"Gene_7973",1,2,6,1,0,1
"Gene_7974",1,6,5,2,1,2
"Gene_7975",76,98,90,84,102,56
"Gene_7976",19,22,12,14,22,19
"Gene_7977",16,9,11,10,26,8
"Gene_7978",2,0,1,2,1,3
"Gene_7979",1,3,3,2,2,6
"Gene_7980",28,26,109,24,12,43
"Gene_7981",0,3,0,0,0,0
"Gene_7982",56,86,58,57,96,88
"Gene_7983",0,0,0,0,0,1
"Gene_7984",24,31,55,30,14,37
"Gene_7985",0,0,1,0,2,0
"Gene_7986",1,0,0,0,0,0
"Gene_7987",6,9,19,13,24,10
"Gene_7988",69,110,119,187,102,130
"Gene_7989",52,59,63,77,57,64
"Gene_7990",3,0,1,0,0,1
"Gene_7991",26,41,27,20,41,21
"Gene_7992",0,0,2,0,1,0
"Gene_7993",243,199,125,115,278,303
"Gene_7994",92,119,107,168,125,204
"Gene_7995",5,10,10,20,16,9
"Gene_7996",2,0,1,1,0,0
"Gene_7997",3,2,1,3,4,3
"Gene_7998",47,70,30,79,57,51
"Gene_7999",65,46,48,34,55,42
"Gene_8000",0,0,0,0,1,0
"Gene_8001",1,0,0,0,0,0
"Gene_8002",9,3,3,9,8,11
"Gene_8003",39,29,3,35,48,15
"Gene_8004",0,1,0,1,0,0
"Gene_8005",4,58,32,52,10,14
"Gene_8006",23,15,17,2,11,64
"Gene_8007",49,33,79,52,63,60
"Gene_8008",3,4,0,6,5,2
"Gene_8009",0,0,0,0,0,1
"Gene_8010",3,3,4,1,2,1
"Gene_8011",26,16,5,11,10,9
"Gene_8012",1,3,18,1,2,7
"Gene_8013",15,5,2,1,11,5
"Gene_8014",1,2,2,2,1,1
"Gene_8015",917,836,606,764,916,768
"Gene_8016",18,25,17,19,28,24
"Gene_8017",2,1,7,1,1,5
"Gene_8018",26,31,36,30,25,20
"Gene_8019",10,24,31,8,22,16
"Gene_8020",40,35,42,41,27,35
"Gene_8021",398,352,208,686,226,726
"Gene_8022",107,86,96,46,128,91
"Gene_8023",27,18,44,19,29,38
"Gene_8024",83,54,74,58,157,115
"Gene_8025",21,13,11,10,26,43
"Gene_8026",28,32,46,21,20,74
"Gene_8027",56,35,42,52,62,30
"Gene_8028",4,4,15,6,9,6
"Gene_8029",0,0,0,3,0,0
"Gene_8030",71,106,54,93,79,60
"Gene_8031",197,218,184,150,288,233
"Gene_8032",134,108,118,151,177,150
"Gene_8033",3,2,11,10,7,8
"Gene_8034",72,74,100,52,106,93
"Gene_8035",0,1,0,0,2,1
"Gene_8036",0,0,0,0,0,1
"Gene_8037",1204,1209,1748,1512,1314,1654
"Gene_8038",0,1,0,0,1,1
"Gene_8039",985,992,1055,917,1210,1423
"Gene_8040",0,1,2,0,3,0
"Gene_8041",91,97,85,82,116,52
"Gene_8042",4,4,5,4,7,6
"Gene_8043",123,71,90,54,111,85
"Gene_8044",15,23,26,28,20,41
"Gene_8045",0,0,0,2,1,0
"Gene_8046",7,5,6,6,4,7
"Gene_8047",1,1,2,0,0,1
"Gene_8048",572,415,563,342,529,531
"Gene_8049",85,52,44,92,27,157
"Gene_8050",3,3,3,0,1,0
"Gene_8051",0,0,1,0,0,0
"Gene_8052",1,0,0,2,4,1
"Gene_8053",29,25,33,21,35,31
"Gene_8054",4,5,12,3,4,3
"Gene_8055",35,27,27,11,48,36
"Gene_8056",0,0,0,2,0,0
"Gene_8057",13,13,27,11,11,15
"Gene_8058",174,149,169,141,286,198
"Gene_8059",30,20,18,27,19,6
"Gene_8060",791,700,764,563,1286,962
"Gene_8061",32,21,29,23,29,34
"Gene_8062",5,2,3,2,11,1
"Gene_8063",119,92,107,78,150,87
"Gene_8064",13,10,14,9,13,6
"Gene_8065",6,13,30,4,12,10
"Gene_8066",0,0,0,0,0,1
"Gene_8067",3,2,1,1,3,1
"Gene_8068",1,0,1,2,1,0
"Gene_8069",3,1,16,1,0,1
"Gene_8070",4,1,9,1,3,5
"Gene_8071",0,0,1,0,0,0
"Gene_8072",11,12,17,4,19,21
"Gene_8073",89,44,68,74,65,58
"Gene_8074",1,2,2,1,2,6
"Gene_8075",10,3,10,6,6,10
"Gene_8076",52,29,18,50,55,52
"Gene_8077",35,64,66,65,47,70
"Gene_8078",4,7,6,5,9,9
"Gene_8079",80,78,84,101,119,122
"Gene_8080",329,291,214,269,416,422
"Gene_8081",16,1,12,2,6,11
"Gene_8082",5,4,3,1,10,10
"Gene_8083",2,1,1,3,6,10
"Gene_8084",1,2,1,1,1,1
"Gene_8085",28,32,35,38,36,34
"Gene_8086",8,5,6,10,10,4
"Gene_8087",136,110,87,123,151,144
"Gene_8088",64,52,79,66,87,97
"Gene_8089",119,99,58,65,71,80
"Gene_8090",8,15,15,18,13,12
"Gene_8091",1,1,0,0,0,0
"Gene_8092",64,82,121,125,113,95
"Gene_8093",244,275,156,199,334,266
"Gene_8094",1,1,0,2,1,1
"Gene_8095",1,0,1,1,2,0
"Gene_8096",42,28,22,30,38,19
"Gene_8097",988,876,492,340,1021,1266
"Gene_8098",7,9,3,3,22,13
"Gene_8099",250,297,365,243,408,250
"Gene_8100",4,0,2,0,2,0
"Gene_8101",1,5,4,1,3,6
"Gene_8102",4,7,3,5,6,3
"Gene_8103",1,2,1,0,2,0
"Gene_8104",16,20,25,14,24,19
"Gene_8105",25,19,37,11,18,20
"Gene_8106",1,0,0,0,0,0
"Gene_8107",2,2,2,1,2,3
"Gene_8108",13,11,20,14,16,19
"Gene_8109",0,1,1,0,0,0
"Gene_8110",77,50,20,18,67,76
"Gene_8111",1955,1662,1003,757,1822,2184
"Gene_8112",34,92,127,132,62,83
"Gene_8113",0,0,1,0,0,0
"Gene_8114",9,12,14,4,15,15
"Gene_8115",109,48,69,42,94,87
"Gene_8116",0,1,2,1,0,0
"Gene_8117",103,79,138,89,126,121
"Gene_8118",2,1,14,2,2,1
"Gene_8119",1,4,4,0,5,3
"Gene_8120",81,110,149,97,68,133
"Gene_8121",44,55,40,58,77,68
"Gene_8122",16,30,48,29,27,23
"Gene_8123",246,260,209,206,273,210
"Gene_8124",25,11,78,8,18,30
"Gene_8125",13,7,12,10,15,15
"Gene_8126",30,28,46,53,37,35
"Gene_8127",19,18,13,11,26,28
"Gene_8128",15,8,136,11,6,15
"Gene_8129",686,465,269,320,695,335
"Gene_8130",0,0,0,0,1,0
"Gene_8131",1,0,0,0,0,0
"Gene_8132",17,7,55,92,19,37
"Gene_8133",3,0,0,0,4,4
"Gene_8134",1,0,5,5,1,3
"Gene_8135",353,374,173,146,295,334
"Gene_8136",1521,1182,1125,1088,1691,1373
"Gene_8137",15,3,4,7,19,28
"Gene_8138",1,0,0,1,0,1
"Gene_8139",4,7,20,7,7,6
"Gene_8140",0,1,0,0,0,0
"Gene_8141",6,4,8,2,9,6
"Gene_8142",190,181,160,246,250,302
"Gene_8143",7,4,3,0,1,3
"Gene_8144",7,2,6,2,13,7
"Gene_8145",2,5,12,3,4,4
"Gene_8146",125,100,147,97,203,156
"Gene_8147",79,56,80,34,116,76
"Gene_8148",16,4,24,8,2,7
"Gene_8149",137,134,84,132,126,105
"Gene_8150",1,0,2,0,0,0
"Gene_8151",2,1,5,0,1,5
"Gene_8152",4423,3282,2143,3739,4978,3843
"Gene_8153",682,640,608,410,1117,723
"Gene_8154",3,5,4,2,7,2
"Gene_8155",1,0,0,0,0,0
"Gene_8156",1,5,6,4,7,5
"Gene_8157",173,150,191,134,261,184
"Gene_8158",86,50,46,59,58,51
"Gene_8159",6,3,22,9,8,1
"Gene_8160",11,4,3,1,13,9
"Gene_8161",0,1,1,1,2,1
"Gene_8162",0,0,0,0,0,1
"Gene_8163",1,0,0,0,0,0
"Gene_8164",13,17,12,20,21,13
"Gene_8165",8,6,8,7,12,5
"Gene_8166",35,37,26,33,37,29
"Gene_8167",1,5,6,3,1,2
"Gene_8168",33,23,26,16,25,20
"Gene_8169",3,0,0,0,0,1
"Gene_8170",94,122,106,28,127,97
"Gene_8171",6,5,16,1,6,9
"Gene_8172",61,47,78,57,94,99
"Gene_8173",12,19,10,28,20,29
"Gene_8174",0,2,2,0,3,4
"Gene_8175",3,3,6,0,1,4
"Gene_8176",31,28,13,18,17,42
"Gene_8177",0,0,1,2,0,0
"Gene_8178",44,45,63,56,82,42
"Gene_8179",17,5,32,7,14,15
"Gene_8180",32,25,14,3,27,25
"Gene_8181",0,1,1,0,1,0
"Gene_8182",2,0,1,2,2,0
"Gene_8183",39,21,17,21,28,28
"Gene_8184",0,0,0,0,0,1
"Gene_8185",7,4,6,7,9,2
"Gene_8186",1,0,0,0,0,0
"Gene_8187",28,11,18,7,20,21
"Gene_8188",121,117,103,102,122,88
"Gene_8189",2,4,2,1,7,2
"Gene_8190",0,1,0,0,1,0
"Gene_8191",0,0,0,1,2,3
"Gene_8192",4,3,3,6,4,5
"Gene_8193",11,13,18,21,36,38
"Gene_8194",132,212,120,370,143,327
"Gene_8195",3,2,2,2,1,1
"Gene_8196",0,1,1,0,0,0
"Gene_8197",1,0,0,0,0,0
"Gene_8198",0,0,0,0,1,0
"Gene_8199",0,0,5,0,0,0
"Gene_8200",27,16,17,20,14,14
"Gene_8201",0,0,0,0,0,1
"Gene_8202",0,0,2,2,0,1
"Gene_8203",7,12,24,20,16,16
"Gene_8204",225,257,219,308,238,287
"Gene_8205",4,4,3,6,4,4
"Gene_8206",138,152,139,89,133,142
"Gene_8207",8,3,7,2,2,5
"Gene_8208",18,19,14,24,25,18
"Gene_8209",0,0,1,0,1,0
"Gene_8210",836,609,539,572,763,646
"Gene_8211",0,0,0,0,1,0
"Gene_8212",4,2,2,0,5,4
"Gene_8213",5,14,43,8,5,14
"Gene_8214",5,7,3,2,6,3
"Gene_8215",10,9,24,8,7,11
"Gene_8216",22,36,67,64,36,23
"Gene_8217",173,165,188,138,283,299
"Gene_8218",35,31,33,31,41,39
"Gene_8219",49,84,56,71,89,66
"Gene_8220",0,0,0,0,2,1
"Gene_8221",1,0,0,0,1,0
"Gene_8222",4,2,2,3,5,7
"Gene_8223",47,41,29,8,85,60
"Gene_8224",76,117,159,260,40,323
"Gene_8225",5,13,12,8,6,16
"Gene_8226",6,9,5,3,8,6
"Gene_8227",1,1,0,0,3,3
"Gene_8228",64,65,77,44,103,75
"Gene_8229",1,0,2,0,1,0
"Gene_8230",1,0,1,0,0,0
"Gene_8231",1,3,3,2,1,5
"Gene_8232",21,19,16,4,57,27
"Gene_8233",4,4,5,0,0,2
"Gene_8234",29,2,4,4,24,0
"Gene_8235",4,4,10,7,12,7
"Gene_8236",84,79,49,74,78,88
"Gene_8237",1,5,1,6,2,3
"Gene_8238",1,0,1,1,2,0
"Gene_8239",134,155,138,97,179,203
"Gene_8240",0,1,0,0,0,0
"Gene_8241",6,3,9,8,3,9
"Gene_8242",0,0,2,1,0,0
"Gene_8243",4,2,1,1,2,4
"Gene_8244",5,0,4,0,3,7
"Gene_8245",55,36,86,36,45,41
"Gene_8246",1,1,3,3,1,3
"Gene_8247",4,2,6,6,2,3
"Gene_8248",0,1,0,0,1,0
"Gene_8249",41,46,39,39,63,64
"Gene_8250",0,0,1,0,1,0
"Gene_8251",2,1,2,3,7,5
"Gene_8252",6,8,5,1,12,7
"Gene_8253",0,1,1,0,1,1
"Gene_8254",5,21,18,10,24,14
"Gene_8255",0,0,0,1,0,0
"Gene_8256",43,36,24,34,46,22
"Gene_8257",0,0,0,1,0,0
"Gene_8258",0,0,0,0,0,1
"Gene_8259",17,3,8,1,12,8
"Gene_8260",0,1,0,0,0,0
"Gene_8261",0,1,5,2,3,3
"Gene_8262",0,0,1,0,0,1
"Gene_8263",9,1,2,4,5,0
"Gene_8264",0,0,1,0,2,0
"Gene_8265",36,180,55,108,139,88
"Gene_8266",252,201,238,158,316,304
"Gene_8267",10,16,4,7,24,8
"Gene_8268",6,3,6,0,3,4
"Gene_8269",1180,992,1457,1050,979,1047
"Gene_8270",165,140,293,171,206,250
"Gene_8271",32,35,30,19,47,36
"Gene_8272",6,13,2,16,25,13
"Gene_8273",59,69,95,89,89,95
"Gene_8274",5,5,2,4,6,3
"Gene_8275",9,15,8,4,15,17
"Gene_8276",96,144,61,65,120,79
"Gene_8277",2,0,3,0,0,2
"Gene_8278",3,1,0,1,1,1
"Gene_8279",0,0,0,0,1,0
"Gene_8280",7,3,6,1,2,8
"Gene_8281",16,10,24,16,12,17
"Gene_8282",10,4,12,4,5,5
"Gene_8283",1,0,1,3,0,1
"Gene_8284",1,4,5,2,1,3
"Gene_8285",81,76,100,61,89,69
"Gene_8286",1,1,1,1,2,2
"Gene_8287",53,49,60,59,104,98
